Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	21:41:37	21:41:37	21:41:37			21:41:37	21:41:37	21:41:37	21:42:12	21:42:12	21:42:12	21:42:12	21:42:13	21:42:13	21:42:14	21:42:14		00:00:00		00:00:00	00:00:34	00:00:00	00:00:00	00:00:01	00:00:37
1	21:42:15	21:42:15	21:42:15	21:42:15	21:42:16	21:42:16	21:42:16	21:42:16	21:42:26	21:42:26	21:42:26	21:42:26	21:42:27	21:42:27	21:42:28	21:42:28		00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00	00:00:01	00:00:13
2	21:42:28	21:42:28	21:42:29	21:42:29	21:42:29	21:42:29	21:42:31	21:42:31	21:42:41	21:42:41	21:42:41	21:42:41	21:42:42	21:42:42	21:42:43	21:42:43		00:00:00	00:00:00	00:00:01	00:00:10	00:00:00	00:00:00	00:00:01	00:00:14
3	21:42:43	21:42:43	21:42:43	21:42:43	21:42:43	21:42:43	21:42:44	21:42:44	21:42:56	21:42:56	21:42:56	21:42:56	21:42:56	21:42:56	21:42:57	21:42:57		00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00	00:00:01	00:00:14
4	21:42:58	21:42:58	21:42:58	21:42:58	21:42:58	21:42:58	21:42:59	21:42:59	21:43:09	21:43:09	21:43:09	21:43:09	21:43:09	21:43:09	21:43:10	21:43:10		00:00:00	00:00:00	00:00:00	00:00:09	00:00:00	00:00:00	00:00:01	00:00:12
5	21:43:10	21:43:10	21:43:11	21:43:11	21:43:11	21:43:11	21:43:11	21:43:11	21:43:23	21:43:23	21:43:23	21:43:23	21:43:23	21:43:23	21:43:24	21:43:24		00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00	00:00:01	00:00:14
6	21:43:25	21:43:25	21:43:25	21:43:25	21:43:25	21:43:25	21:43:26	21:43:26	21:43:36	21:43:36	21:43:36	21:43:36	21:43:37	21:43:37	21:43:38	21:43:38		00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00	00:00:00	00:00:13
7	21:43:38	21:43:38	21:43:38	21:43:38	21:43:39	21:43:39	21:43:39	21:43:39	21:43:50	21:43:50	21:43:50	21:43:50	21:43:51	21:43:51	21:43:52	21:43:52		00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00	00:00:01	00:00:14
8	21:43:52	21:43:52	21:43:53	21:43:53	21:43:53	21:43:53	21:43:53	21:43:53	21:44:03	21:44:03	21:44:03	21:44:03	21:44:04	21:44:04	21:44:05	21:44:05		00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00	00:00:00	00:00:12
9	21:44:05	21:44:05	21:44:05	21:44:05	21:44:06	21:44:06	21:44:06	21:44:06	21:44:39	21:44:39	21:44:39	21:44:39	21:44:39	21:44:39	21:44:40	21:44:40		00:00:00	00:00:00	00:00:00	00:00:32	00:00:00	00:00:00	00:00:00	00:00:34
