ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	127.45353180922154	127.45353180922154	127.45353180922154	127.45353180922154
1	128.9316512383244	128.64661953925966	128.79412979702715	128.94164005479468
2	130.01420389880124	129.4634199271087	129.75834260442826	130.0474967377434
3	130.79660037907047	129.98220178209618	130.4357986568138	130.87319123833865
4	131.32084565720086	130.28858390288588	130.88371426196082	131.45036437038675
5	131.72215069818108	130.46388043576871	131.22110033581652	131.93429914617548
6	131.993237350843	130.522523066667	131.44331466522144	132.30500929020835
7	132.1018890080579	130.51728105244817	131.53446900657914	132.46841534071123
8	132.13630068563086	130.48001082608357	131.5575666871972	132.52875778131155
9	132.1421978505398	130.44186663689044	131.55941244248723	132.54082626525843
