Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	20:27:32	20:27:32	20:27:33			20:27:33	20:27:34	20:27:34	20:28:26	20:28:26	20:28:26	20:28:26	20:28:27	20:28:27	20:28:29	20:28:29		00:00:00		00:00:00	00:00:51	00:00:00	00:00:00	00:00:02	00:00:56
1	20:28:30	20:28:30	20:28:30	20:28:30	20:28:31	20:28:31	20:28:32	20:28:32	20:28:51	20:28:51	20:28:51	20:28:51	20:28:51	20:28:51	20:28:53	20:28:53		00:00:00	00:00:00	00:00:00	00:00:18	00:00:00	00:00:00	00:00:01	00:00:23
2	20:28:54	20:28:54	20:28:54	20:28:54	20:28:55	20:28:55	20:28:55	20:28:55	20:29:12	20:29:12	20:29:12	20:29:12	20:29:13	20:29:13	20:29:15	20:29:15		00:00:00	00:00:00	00:00:00	00:00:17	00:00:00	00:00:00	00:00:01	00:00:21
3	20:29:15	20:29:15	20:29:16	20:29:16	20:29:17	20:29:17	20:29:17	20:29:17	20:29:36	20:29:36	20:29:36	20:29:36	20:29:37	20:29:37	20:29:40	20:29:40		00:00:00	00:00:00	00:00:00	00:00:18	00:00:00	00:00:01	00:00:02	00:00:25
4	20:29:40	20:29:40	20:29:41	20:29:41	20:29:42	20:29:42	20:29:42	20:29:42	20:29:58	20:29:58	20:29:58	20:29:58	20:29:59	20:29:59	20:30:01	20:30:01		00:00:00	00:00:00	00:00:00	00:00:15	00:00:00	00:00:00	00:00:02	00:00:20
5	20:30:01	20:30:01	20:30:02	20:30:02	20:30:02	20:30:02	20:30:03	20:30:03	20:30:22	20:30:22	20:30:22	20:30:22	20:30:23	20:30:23	20:30:25	20:30:25		00:00:00	00:00:00	00:00:00	00:00:19	00:00:00	00:00:00	00:00:01	00:00:23
6	20:30:25	20:30:25	20:30:26	20:30:26	20:30:27	20:30:27	20:30:27	20:30:27	20:30:45	20:30:45	20:30:45	20:30:45	20:30:45	20:30:45	20:30:47	20:30:47		00:00:00	00:00:00	00:00:00	00:00:17	00:00:00	00:00:00	00:00:01	00:00:21
7	20:30:47	20:30:47	20:30:47	20:30:47	20:30:48	20:30:48	20:30:49	20:30:49	20:31:05	20:31:05	20:31:05	20:31:05	20:31:06	20:31:06	20:31:08	20:31:08		00:00:00	00:00:00	00:00:00	00:00:16	00:00:00	00:00:00	00:00:01	00:00:20
8	20:31:08	20:31:08	20:31:09	20:31:09	20:31:11	20:31:11	20:31:12	20:31:12	20:31:30	20:31:30	20:31:30	20:31:30	20:31:31	20:31:31	20:31:33	20:31:33		00:00:00	00:00:02	00:00:00	00:00:18	00:00:00	00:00:00	00:00:01	00:00:24
9	20:31:33	20:31:33	20:31:33	20:31:33	20:31:34	20:31:34	20:31:35	20:31:35	20:32:18	20:32:18	20:32:18	20:32:18	20:32:19	20:32:19	20:32:20	20:32:20		00:00:00	00:00:00	00:00:00	00:00:43	00:00:00	00:00:00	00:00:01	00:00:46
