ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	127.39958959059581	127.39958959059581	127.39958959059581	127.39958959059581
1	128.9815450942009	128.6845528921196	128.83840445790818	128.9922560236961
2	130.07472547857523	129.50810588757972	129.81633189891207	130.11831478793326
3	130.85167463143048	130.02209318159336	130.49337582314138	130.94839635552378
4	131.35447920106827	130.30549634852161	130.9203183660543	131.50678117212928
5	131.71903407800343	130.4506872961549	131.2222860780794	131.95103325603284
6	131.92827409964644	130.4589070661495	131.39872130419533	132.27758934238716
7	131.99425714205032	130.4224025992887	131.44537487738998	132.38278476562684
8	132.02996211422132	130.4153982476041	131.46322114497806	132.39987591940138
9	132.06243321716093	130.39869986569352	131.48222832096448	132.4276558345575
