Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	21:36:16	21:36:16	21:36:17			21:36:17	21:36:18	21:36:18	21:37:11	21:37:11	21:37:11	21:37:11	21:37:12	21:37:12	21:37:14	21:37:14		00:00:00		00:00:00	00:00:53	00:00:00	00:00:00	00:00:02	00:00:57
1	21:37:15	21:37:15	21:37:15	21:37:15	21:37:17	21:37:17	21:37:17	21:37:17	21:37:37	21:37:37	21:37:37	21:37:37	21:37:38	21:37:38	21:37:40	21:37:40		00:00:00	00:00:01	00:00:00	00:00:20	00:00:00	00:00:00	00:00:01	00:00:24
2	21:37:40	21:37:40	21:37:40	21:37:40	21:37:41	21:37:41	21:37:42	21:37:42	21:37:59	21:37:59	21:37:59	21:37:59	21:38:00	21:38:00	21:38:02	21:38:02		00:00:00	00:00:01	00:00:00	00:00:17	00:00:00	00:00:00	00:00:02	00:00:22
3	21:38:02	21:38:02	21:38:03	21:38:03	21:38:04	21:38:04	21:38:04	21:38:04	21:38:24	21:38:24	21:38:24	21:38:24	21:38:25	21:38:25	21:38:26	21:38:26		00:00:00	00:00:00	00:00:00	00:00:20	00:00:00	00:00:00	00:00:01	00:00:23
4	21:38:26	21:38:26	21:38:27	21:38:27	21:38:28	21:38:28	21:38:28	21:38:28	21:38:45	21:38:45	21:38:45	21:38:45	21:38:45	21:38:45	21:38:47	21:38:47		00:00:00	00:00:00	00:00:00	00:00:16	00:00:00	00:00:00	00:00:01	00:00:20
5	21:38:47	21:38:47	21:38:48	21:38:48	21:38:48	21:38:48	21:38:49	21:38:49	21:39:09	21:39:09	21:39:09	21:39:09	21:39:10	21:39:10	21:39:11	21:39:11		00:00:00	00:00:00	00:00:00	00:00:20	00:00:00	00:00:00	00:00:01	00:00:24
6	21:39:11	21:39:11	21:39:12	21:39:12	21:39:13	21:39:13	21:39:14	21:39:14	21:39:30	21:39:30	21:39:30	21:39:30	21:39:31	21:39:31	21:39:33	21:39:33		00:00:00	00:00:01	00:00:00	00:00:16	00:00:00	00:00:01	00:00:01	00:00:21
7	21:39:33	21:39:33	21:39:34	21:39:34	21:39:35	21:39:35	21:39:36	21:39:36	21:39:54	21:39:54	21:39:54	21:39:54	21:39:55	21:39:55	21:39:57	21:39:57		00:00:00	00:00:00	00:00:01	00:00:18	00:00:00	00:00:00	00:00:01	00:00:23
8	21:39:57	21:39:57	21:39:57	21:39:57	21:39:58	21:39:58	21:40:00	21:40:00	21:40:18	21:40:18	21:40:18	21:40:18	21:40:19	21:40:19	21:40:21	21:40:21		00:00:00	00:00:00	00:00:01	00:00:18	00:00:00	00:00:00	00:00:01	00:00:23
9	21:40:21	21:40:21	21:40:21	21:40:21	21:40:22	21:40:22	21:40:23	21:40:23	21:41:08	21:41:08	21:41:08	21:41:08	21:41:08	21:41:08	21:41:10	21:41:10		00:00:00	00:00:00	00:00:00	00:00:45	00:00:00	00:00:00	00:00:01	00:00:48
