ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	127.35393745314686	127.35393745314686	127.35393745314686	127.35393745314686
1	128.8835470853592	128.59168789366637	128.74263269162017	128.8935774895741
2	129.99420698404865	129.43442257232846	129.7333374557901	130.0265965842256
3	130.79824149783866	129.96899203033365	130.43760446676913	130.89012386845883
4	131.28525276654045	130.22643232726458	130.84978125158494	131.4442890069079
5	131.6163550243109	130.35845994960488	131.1292366396339	131.8556254264016
6	131.87659518929215	130.42389864780523	131.341660271303	132.19876160571434
7	131.96742944559827	130.40788220897846	131.41691882136485	132.3415710953661
8	132.00264419030114	130.3792594247623	131.44408194665593	132.39935634601068
9	132.00340913163245	130.3397606332099	131.43973617458263	132.40569691521796
