ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	126.83822321359172	126.83822321359172	126.83822321359172	126.83822321359172
1	128.57124031719664	128.26190480563767	128.42141205475545	128.58091930387357
2	129.79416604454545	129.19403961923453	129.5140472644328	129.82709171043183
3	130.68131042127385	129.79094025297167	130.28724119309211	130.76590911596742
4	131.25381881788235	130.13035209570606	130.77648686029775	131.3918214479549
5	131.62177060957382	130.26434986275754	131.08587458404452	131.85859670975012
6	131.86519404853001	130.30949673793893	131.29082158332284	132.20615864872164
7	131.94829311053542	130.28614231832748	131.35226975366865	132.32631969157805
8	131.95750037664493	130.2498177556426	131.36202122725322	132.35332931083306
9	131.99681700022057	130.24934878662108	131.39096856400622	132.38197753373467
