Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	00:19:13	00:19:13	00:19:14			00:19:14	00:19:14	00:19:14	00:20:05	00:20:05	00:20:05	00:20:05	00:20:06	00:20:06	00:20:08	00:20:08		00:00:00		00:00:00	00:00:50	00:00:00	00:00:00	00:00:02	00:00:54
1	00:20:09	00:20:09	00:20:09	00:20:09	00:20:10	00:20:10	00:20:11	00:20:11	00:20:29	00:20:29	00:20:29	00:20:29	00:20:29	00:20:29	00:20:31	00:20:31		00:00:00	00:00:01	00:00:00	00:00:18	00:00:00	00:00:00	00:00:01	00:00:22
2	00:20:31	00:20:31	00:20:31	00:20:31	00:20:32	00:20:32	00:20:33	00:20:33	00:20:51	00:20:51	00:20:51	00:20:51	00:20:52	00:20:52	00:20:53	00:20:53		00:00:00	00:00:00	00:00:00	00:00:18	00:00:00	00:00:00	00:00:01	00:00:21
3	00:20:53	00:20:53	00:20:54	00:20:54	00:20:55	00:20:55	00:20:55	00:20:55	00:21:16	00:21:16	00:21:16	00:21:16	00:21:18	00:21:18	00:21:20	00:21:20		00:00:00	00:00:00	00:00:00	00:00:20	00:00:00	00:00:01	00:00:02	00:00:26
4	00:21:20	00:21:20	00:21:21	00:21:21	00:21:22	00:21:22	00:21:22	00:21:22	00:21:39	00:21:39	00:21:39	00:21:39	00:21:40	00:21:40	00:21:41	00:21:41		00:00:00	00:00:00	00:00:00	00:00:17	00:00:00	00:00:00	00:00:01	00:00:21
5	00:21:42	00:21:42	00:21:42	00:21:42	00:21:43	00:21:43	00:21:43	00:21:43	00:22:02	00:22:02	00:22:02	00:22:02	00:22:04	00:22:04	00:22:05	00:22:05		00:00:00	00:00:00	00:00:00	00:00:18	00:00:00	00:00:01	00:00:01	00:00:23
6	00:22:06	00:22:06	00:22:06	00:22:06	00:22:07	00:22:07	00:22:07	00:22:07	00:22:25	00:22:25	00:22:25	00:22:25	00:22:26	00:22:26	00:22:28	00:22:28		00:00:00	00:00:00	00:00:00	00:00:17	00:00:00	00:00:01	00:00:01	00:00:22
7	00:22:28	00:22:28	00:22:28	00:22:28	00:22:29	00:22:29	00:22:30	00:22:30	00:22:47	00:22:47	00:22:47	00:22:47	00:22:47	00:22:47	00:22:49	00:22:49		00:00:00	00:00:00	00:00:00	00:00:17	00:00:00	00:00:00	00:00:01	00:00:21
8	00:22:49	00:22:49	00:22:50	00:22:50	00:22:52	00:22:52	00:22:53	00:22:53	00:23:12	00:23:12	00:23:12	00:23:12	00:23:13	00:23:13	00:23:15	00:23:15		00:00:00	00:00:02	00:00:00	00:00:19	00:00:00	00:00:00	00:00:01	00:00:25
9	00:23:15	00:23:15	00:23:15	00:23:15	00:23:16	00:23:16	00:23:16	00:23:16	00:24:00	00:24:00	00:24:00	00:24:00	00:24:01	00:24:01	00:24:02	00:24:02		00:00:00	00:00:00	00:00:00	00:00:44	00:00:00	00:00:00	00:00:01	00:00:47
