ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	127.5517285487476	127.5517285487476	127.5517285487476	127.5517285487476
1	128.92458170346183	128.6740663327097	128.80518506020658	128.9363037877026
2	129.92341369312655	129.42703856809734	129.695251062139	129.95867638444182
3	130.6319184222773	129.89310448559587	130.31150917491965	130.71667830445173
4	131.09914064772406	130.1596007927469	130.70863688108145	131.23397564146404
5	131.4879377436927	130.3326058419148	131.0324291442327	131.69594271977746
6	131.76148222410444	130.41918514039705	131.25670070206468	132.04515107047234
7	131.8967093453391	130.43516598121687	131.36547230787613	132.22612971052598
8	131.9846686205717	130.4574702964719	131.42085689775715	132.29085329295623
9	132.01525907499587	130.44845510625262	131.44622413659894	132.32533954112876
