Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	20:55:44	20:55:44	20:55:45			20:55:45	20:55:46	20:55:46	20:56:40	20:56:40	20:56:40	20:56:40	20:56:41	20:56:41	20:56:43	20:56:43		00:00:00		00:00:00	00:00:54	00:00:00	00:00:00	00:00:02	00:00:58
1	20:56:44	20:56:44	20:56:44	20:56:44	20:56:45	20:56:45	20:56:46	20:56:46	20:57:05	20:57:05	20:57:05	20:57:05	20:57:05	20:57:05	20:57:07	20:57:07		00:00:00	00:00:01	00:00:00	00:00:18	00:00:00	00:00:00	00:00:01	00:00:23
2	20:57:07	20:57:07	20:57:08	20:57:08	20:57:08	20:57:08	20:57:09	20:57:09	20:57:30	20:57:30	20:57:30	20:57:30	20:57:31	20:57:31	20:57:33	20:57:33		00:00:00	00:00:00	00:00:01	00:00:20	00:00:00	00:00:00	00:00:01	00:00:25
3	20:57:33	20:57:33	20:57:33	20:57:33	20:57:34	20:57:34	20:57:35	20:57:35	20:57:54	20:57:54	20:57:54	20:57:54	20:57:54	20:57:54	20:57:56	20:57:56		00:00:00	00:00:00	00:00:00	00:00:18	00:00:00	00:00:00	00:00:01	00:00:22
4	20:57:56	20:57:56	20:57:56	20:57:56	20:57:58	20:57:58	20:57:59	20:57:59	20:58:16	20:58:16	20:58:16	20:58:16	20:58:17	20:58:17	20:58:18	20:58:18		00:00:00	00:00:02	00:00:00	00:00:16	00:00:00	00:00:00	00:00:01	00:00:22
5	20:58:18	20:58:18	20:58:19	20:58:19	20:58:19	20:58:19	20:58:20	20:58:20	20:58:40	20:58:40	20:58:40	20:58:40	20:58:41	20:58:41	20:58:42	20:58:42		00:00:00	00:00:00	00:00:00	00:00:20	00:00:00	00:00:00	00:00:01	00:00:23
6	20:58:42	20:58:42	20:58:43	20:58:43	20:58:44	20:58:44	20:58:44	20:58:44	20:59:03	20:59:03	20:59:03	20:59:03	20:59:03	20:59:03	20:59:05	20:59:05		00:00:00	00:00:00	00:00:00	00:00:18	00:00:00	00:00:00	00:00:01	00:00:22
7	20:59:05	20:59:05	20:59:05	20:59:05	20:59:06	20:59:06	20:59:06	20:59:06	20:59:25	20:59:25	20:59:25	20:59:25	20:59:26	20:59:26	20:59:28	20:59:28		00:00:00	00:00:00	00:00:00	00:00:18	00:00:00	00:00:01	00:00:01	00:00:23
8	20:59:28	20:59:28	20:59:29	20:59:29	20:59:29	20:59:29	20:59:30	20:59:30	20:59:47	20:59:47	20:59:47	20:59:47	20:59:48	20:59:48	20:59:49	20:59:49		00:00:00	00:00:00	00:00:00	00:00:17	00:00:00	00:00:00	00:00:01	00:00:21
9	20:59:50	20:59:50	20:59:50	20:59:50	20:59:51	20:59:51	20:59:51	20:59:51	21:00:38	21:00:38	21:00:38	21:00:38	21:00:38	21:00:38	21:00:40	21:00:40		00:00:00	00:00:00	00:00:00	00:00:46	00:00:00	00:00:00	00:00:01	00:00:49
