ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	127.27650301628444	127.27650301628444	127.27650301628444	127.27650301628444
1	128.88074637744054	128.58065561691168	128.7355685968527	128.89048157679406
2	130.01110719846497	129.4308854246825	129.74120826995596	130.04542621042407
3	130.8248520412077	129.97360379011067	130.4509564879985	130.9116372860863
4	131.31531736382186	130.23498817684484	130.8701414770011	131.47534363916196
5	131.69133481459912	130.39190903826082	131.18710619556987	131.9363664311124
6	131.95258644757442	130.4578060838301	131.40457523527462	132.2895105955019
7	132.05689208377217	130.43812973463548	131.48184329835016	132.43934276623776
8	132.0898345408349	130.42133321262597	131.5049800851045	132.47641068010907
9	132.1207506267841	130.40184808687874	131.52605180366587	132.51152402592191
