Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	19:47:21	19:47:21	19:47:21			19:47:21	19:47:21	19:47:21	19:47:59	19:47:59	19:47:59	19:47:59	19:47:59	19:47:59	19:48:01	19:48:01		00:00:00		00:00:00	00:00:37	00:00:00	00:00:00	00:00:01	00:00:40
1	19:48:01	19:48:01	19:48:02	19:48:02	19:48:02	19:48:02	19:48:02	19:48:02	19:48:15	19:48:15	19:48:15	19:48:15	19:48:15	19:48:15	19:48:17	19:48:17		00:00:00	00:00:00	00:00:00	00:00:12	00:00:00	00:00:00	00:00:01	00:00:15
2	19:48:17	19:48:17	19:48:17	19:48:17	19:48:18	19:48:18	19:48:19	19:48:19	19:48:31	19:48:31	19:48:31	19:48:31	19:48:31	19:48:31	19:48:32	19:48:32		00:00:00	00:00:00	00:00:00	00:00:12	00:00:00	00:00:00	00:00:01	00:00:15
3	19:48:33	19:48:33	19:48:33	19:48:33	19:48:33	19:48:33	19:48:34	19:48:34	19:48:48	19:48:48	19:48:48	19:48:48	19:48:48	19:48:48	19:48:49	19:48:49		00:00:00	00:00:00	00:00:00	00:00:13	00:00:00	00:00:00	00:00:01	00:00:16
4	19:48:49	19:48:49	19:48:50	19:48:50	19:48:50	19:48:50	19:48:50	19:48:50	19:49:02	19:49:02	19:49:02	19:49:02	19:49:03	19:49:03	19:49:04	19:49:04		00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00	00:00:01	00:00:14
5	19:49:04	19:49:04	19:49:04	19:49:04	19:49:05	19:49:05	19:49:05	19:49:05	19:49:19	19:49:19	19:49:19	19:49:19	19:49:19	19:49:19	19:49:20	19:49:20		00:00:00	00:00:00	00:00:00	00:00:13	00:00:00	00:00:00	00:00:00	00:00:16
6	19:49:21	19:49:21	19:49:21	19:49:21	19:49:21	19:49:21	19:49:22	19:49:22	19:49:33	19:49:33	19:49:33	19:49:33	19:49:33	19:49:33	19:49:34	19:49:34		00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00	00:00:01	00:00:13
7	19:49:35	19:49:35	19:49:35	19:49:35	19:49:35	19:49:35	19:49:36	19:49:36	19:49:50	19:49:50	19:49:50	19:49:50	19:49:50	19:49:50	19:49:51	19:49:51		00:00:00	00:00:00	00:00:00	00:00:13	00:00:00	00:00:00	00:00:00	00:00:16
8	19:49:51	19:49:51	19:49:51	19:49:51	19:49:52	19:49:52	19:49:52	19:49:52	19:50:03	19:50:03	19:50:03	19:50:03	19:50:04	19:50:04	19:50:05	19:50:05		00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00	00:00:01	00:00:13
9	19:50:05	19:50:05	19:50:06	19:50:06	19:50:06	19:50:06	19:50:06	19:50:06	19:50:42	19:50:42	19:50:42	19:50:42	19:50:43	19:50:43	19:50:44	19:50:44		00:00:00	00:00:00	00:00:00	00:00:35	00:00:00	00:00:00	00:00:00	00:00:38
