ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	127.3616184754665	127.3616184754665	127.3616184754665	127.3616184754665
1	128.9160407730248	128.61981276964914	128.77393476338284	128.92805675711648
2	130.02896015787718	129.4593937391262	129.7649264800152	130.06447926186232
3	130.87694435812892	130.03803492481515	130.50576009637473	130.95731835325677
4	131.37889622469598	130.31689812532795	130.9347890041913	131.52353537339428
5	131.71747374964693	130.44388508143325	131.21964301304416	131.9497828248858
6	131.9599694720511	130.4841911173591	131.4198449398531	132.29280621163622
7	132.06414297086562	130.47167723293856	131.5029226083953	132.44730918622326
8	132.0835118713046	130.44465493326774	131.52140222595395	132.48548193702896
9	132.08199121110422	130.39683007279123	131.51693865346655	132.49582210426493
