ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	127.33641022089357	127.33641022089357	127.33641022089357	127.33641022089357
1	128.97642409877207	128.67462997188505	128.83142069917693	128.9882114264684
2	130.15370670109007	129.5690409220213	129.88126169064574	130.18695736057475
3	130.91620942727596	130.061590497231	130.5494318628644	131.01994376096806
4	131.40615807998196	130.3339469946743	130.96902524911133	131.57406643776537
5	131.76865933199448	130.47809131031485	131.26660659923172	132.01046203643324
6	132.01042664194557	130.5162982367318	131.46698102074507	132.35730529288017
7	132.04929383470633	130.4603566631473	131.49322395476054	132.43966848215862
8	132.06751097353532	130.44236183726383	131.49602176826426	132.44086724118844
9	132.13160331304803	130.44987939747307	131.53765625285823	132.48872585874275
