Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	19:41:52	19:41:52	19:41:53			19:41:53	19:41:53	19:41:53	19:42:45	19:42:45	19:42:45	19:42:45	19:42:46	19:42:46	19:42:48	19:42:48		00:00:00		00:00:00	00:00:51	00:00:00	00:00:00	00:00:02	00:00:56
1	19:42:49	19:42:49	19:42:49	19:42:49	19:42:50	19:42:50	19:42:51	19:42:51	19:43:08	19:43:08	19:43:08	19:43:08	19:43:09	19:43:09	19:43:11	19:43:11		00:00:00	00:00:00	00:00:00	00:00:16	00:00:00	00:00:01	00:00:02	00:00:22
2	19:43:12	19:43:12	19:43:12	19:43:12	19:43:12	19:43:12	19:43:13	19:43:13	19:43:33	19:43:33	19:43:33	19:43:33	19:43:34	19:43:34	19:43:35	19:43:35		00:00:00	00:00:00	00:00:00	00:00:19	00:00:00	00:00:01	00:00:01	00:00:23
3	19:43:35	19:43:35	19:43:36	19:43:36	19:43:37	19:43:37	19:43:37	19:43:37	19:43:55	19:43:55	19:43:55	19:43:55	19:43:57	19:43:57	19:43:59	19:43:59		00:00:00	00:00:00	00:00:00	00:00:18	00:00:00	00:00:01	00:00:02	00:00:23
4	19:43:59	19:43:59	19:44:00	19:44:00	19:44:01	19:44:01	19:44:01	19:44:01	19:44:19	19:44:19	19:44:19	19:44:19	19:44:20	19:44:20	19:44:22	19:44:22		00:00:00	00:00:00	00:00:00	00:00:17	00:00:00	00:00:00	00:00:01	00:00:22
5	19:44:22	19:44:22	19:44:22	19:44:22	19:44:23	19:44:23	19:44:24	19:44:24	19:44:42	19:44:42	19:44:42	19:44:42	19:44:43	19:44:43	19:44:45	19:44:45		00:00:00	00:00:00	00:00:00	00:00:18	00:00:00	00:00:00	00:00:02	00:00:23
6	19:44:46	19:44:46	19:44:46	19:44:46	19:44:47	19:44:47	19:44:48	19:44:48	19:45:05	19:45:05	19:45:05	19:45:05	19:45:06	19:45:06	19:45:07	19:45:07		00:00:00	00:00:00	00:00:00	00:00:17	00:00:00	00:00:00	00:00:01	00:00:21
7	19:45:08	19:45:08	19:45:08	19:45:08	19:45:09	19:45:09	19:45:10	19:45:10	19:45:26	19:45:26	19:45:26	19:45:26	19:45:26	19:45:26	19:45:28	19:45:28		00:00:00	00:00:00	00:00:00	00:00:16	00:00:00	00:00:00	00:00:01	00:00:20
8	19:45:28	19:45:28	19:45:29	19:45:29	19:45:31	19:45:31	19:45:31	19:45:31	19:45:50	19:45:50	19:45:50	19:45:50	19:45:50	19:45:50	19:45:52	19:45:52		00:00:00	00:00:01	00:00:00	00:00:18	00:00:00	00:00:00	00:00:01	00:00:23
9	19:45:52	19:45:52	19:45:52	19:45:52	19:45:53	19:45:53	19:45:54	19:45:54	19:46:38	19:46:38	19:46:38	19:46:38	19:46:39	19:46:39	19:46:40	19:46:40		00:00:00	00:00:00	00:00:00	00:00:44	00:00:00	00:00:00	00:00:01	00:00:48
