Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	20:51:55	20:51:55	20:51:55			20:51:55	20:51:55	20:51:55	20:52:29	20:52:29	20:52:29	20:52:29	20:52:29	20:52:29	20:52:31	20:52:31		00:00:00		00:00:00	00:00:33	00:00:00	00:00:00	00:00:01	00:00:36
1	20:52:31	20:52:31	20:52:32	20:52:32	20:52:32	20:52:32	20:52:32	20:52:32	20:52:43	20:52:43	20:52:43	20:52:43	20:52:44	20:52:44	20:52:45	20:52:45		00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00	00:00:01	00:00:14
2	20:52:45	20:52:45	20:52:46	20:52:46	20:52:46	20:52:46	20:52:46	20:52:46	20:52:57	20:52:57	20:52:57	20:52:57	20:52:57	20:52:57	20:52:58	20:52:58		00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00	00:00:01	00:00:12
3	20:52:58	20:52:58	20:52:59	20:52:59	20:52:59	20:52:59	20:52:59	20:52:59	20:53:10	20:53:10	20:53:10	20:53:10	20:53:10	20:53:10	20:53:11	20:53:11		00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00	00:00:01	00:00:12
4	20:53:11	20:53:11	20:53:12	20:53:12	20:53:12	20:53:12	20:53:12	20:53:12	20:53:22	20:53:22	20:53:22	20:53:22	20:53:22	20:53:22	20:53:23	20:53:23		00:00:00	00:00:00	00:00:00	00:00:09	00:00:00	00:00:00	00:00:00	00:00:12
5	20:53:24	20:53:24	20:53:24	20:53:24	20:53:24	20:53:24	20:53:25	20:53:25	20:53:36	20:53:36	20:53:36	20:53:36	20:53:36	20:53:36	20:53:37	20:53:37		00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00	00:00:00	00:00:13
6	20:53:37	20:53:37	20:53:38	20:53:38	20:53:38	20:53:38	20:53:38	20:53:38	20:53:48	20:53:48	20:53:48	20:53:48	20:53:48	20:53:48	20:53:49	20:53:49		00:00:00	00:00:00	00:00:00	00:00:09	00:00:00	00:00:00	00:00:00	00:00:12
7	20:53:49	20:53:49	20:53:50	20:53:50	20:53:50	20:53:50	20:53:51	20:53:51	20:54:02	20:54:02	20:54:02	20:54:02	20:54:02	20:54:02	20:54:03	20:54:03		00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00	00:00:00	00:00:13
8	20:54:03	20:54:03	20:54:04	20:54:04	20:54:04	20:54:04	20:54:04	20:54:04	20:54:15	20:54:15	20:54:15	20:54:15	20:54:15	20:54:15	20:54:16	20:54:16		00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00	00:00:00	00:00:12
9	20:54:16	20:54:16	20:54:17	20:54:17	20:54:17	20:54:17	20:54:17	20:54:17	20:54:51	20:54:51	20:54:51	20:54:51	20:54:51	20:54:51	20:54:52	20:54:52		00:00:00	00:00:00	00:00:00	00:00:33	00:00:00	00:00:00	00:00:00	00:00:36
