ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	127.35553279477767	127.35553279477767	127.35553279477767	127.35553279477767
1	128.8986369576123	128.60364394136224	128.7560774158496	128.90851089033714
2	130.04408783722587	129.46996855057458	129.7766767869261	130.07724154745472
3	130.8831143319676	130.03186570217161	130.50575844538147	130.96313299697863
4	131.38296608041784	130.30337888455244	130.93450500196175	131.5357990868492
5	131.77051831081255	130.46928948058488	131.26079634684177	132.0067088217091
6	132.02543424463235	130.52934820383268	131.474511396855	132.35572060943107
7	132.12685549318388	130.51476289726722	131.55384189895895	132.5057185802497
8	132.1665102482595	130.48474014889914	131.57963903994104	132.55863172821142
9	132.17576296638015	130.45876813312753	131.58682469181218	132.57453500951829
