Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	18:50:41	18:50:41	18:50:42			18:50:42	18:50:42	18:50:42	18:51:29	18:51:29	18:51:29	18:51:29	18:51:30	18:51:30	18:51:31	18:51:31		00:00:00		00:00:00	00:00:47	00:00:00	00:00:00	00:00:01	00:00:50
1	18:51:32	18:51:32	18:51:33	18:51:33	18:51:33	18:51:33	18:51:34	18:51:34	18:51:50	18:51:50	18:51:50	18:51:50	18:51:51	18:51:51	18:51:52	18:51:52		00:00:00	00:00:00	00:00:00	00:00:16	00:00:00	00:00:00	00:00:01	00:00:20
2	18:51:53	18:51:53	18:51:53	18:51:53	18:51:54	18:51:54	18:51:54	18:51:54	18:52:11	18:52:11	18:52:11	18:52:11	18:52:11	18:52:11	18:52:13	18:52:13		00:00:00	00:00:00	00:00:00	00:00:16	00:00:00	00:00:00	00:00:01	00:00:20
3	18:52:13	18:52:13	18:52:14	18:52:14	18:52:14	18:52:14	18:52:16	18:52:16	18:52:34	18:52:34	18:52:34	18:52:34	18:52:34	18:52:34	18:52:35	18:52:35		00:00:00	00:00:00	00:00:02	00:00:17	00:00:00	00:00:00	00:00:01	00:00:22
4	18:52:36	18:52:36	18:52:36	18:52:36	18:52:37	18:52:37	18:52:37	18:52:37	18:52:54	18:52:54	18:52:54	18:52:54	18:52:54	18:52:54	18:52:56	18:52:56		00:00:00	00:00:00	00:00:00	00:00:16	00:00:00	00:00:00	00:00:01	00:00:20
5	18:52:56	18:52:56	18:52:56	18:52:56	18:52:57	18:52:57	18:52:57	18:52:57	18:53:14	18:53:14	18:53:14	18:53:14	18:53:15	18:53:15	18:53:16	18:53:16		00:00:00	00:00:00	00:00:00	00:00:16	00:00:00	00:00:01	00:00:01	00:00:20
6	18:53:16	18:53:16	18:53:17	18:53:17	18:53:17	18:53:17	18:53:18	18:53:18	18:53:33	18:53:33	18:53:33	18:53:33	18:53:34	18:53:34	18:53:35	18:53:35		00:00:00	00:00:00	00:00:00	00:00:15	00:00:00	00:00:00	00:00:01	00:00:19
7	18:53:35	18:53:35	18:53:36	18:53:36	18:53:37	18:53:37	18:53:38	18:53:38	18:53:53	18:53:53	18:53:53	18:53:53	18:53:53	18:53:53	18:53:55	18:53:55		00:00:00	00:00:01	00:00:00	00:00:15	00:00:00	00:00:00	00:00:01	00:00:19
8	18:53:55	18:53:55	18:53:55	18:53:55	18:53:56	18:53:56	18:53:56	18:53:56	18:54:13	18:54:13	18:54:13	18:54:13	18:54:14	18:54:14	18:54:16	18:54:16		00:00:00	00:00:00	00:00:00	00:00:16	00:00:00	00:00:01	00:00:01	00:00:20
9	18:54:16	18:54:16	18:54:16	18:54:16	18:54:16	18:54:16	18:54:17	18:54:17	18:54:58	18:54:58	18:54:58	18:54:58	18:54:58	18:54:58	18:54:59	18:54:59		00:00:00	00:00:00	00:00:00	00:00:40	00:00:00	00:00:00	00:00:00	00:00:43
