ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	127.36865601043928	127.36865601043928	127.36865601043928	127.36865601043928
1	129.01703995868124	128.71341810408336	128.8708002881654	129.0281824722476
2	130.1420534204023	129.56065856963335	129.8751449898872	130.18341119572358
3	130.9032240837998	130.0590067607997	130.53989201091068	131.00377641934497
4	131.4167149690304	130.34563900797562	130.9785580445796	131.58230683232185
5	131.75398575795765	130.47574834233404	131.26119318160875	132.0018174074599
6	131.96056734392576	130.48026144788014	131.42854591334086	132.31628746229464
7	131.99906930535437	130.43274538877546	131.4533464046535	132.3883234525901
8	132.01001269318706	130.40611855380467	131.45315685241053	132.3921356852656
9	132.049610901966	130.40783116099985	131.4777534417677	132.41222246634385
