Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	19:57:18	19:57:18	19:57:18			19:57:18	19:57:19	19:57:19	19:58:11	19:58:11	19:58:11	19:58:11	19:58:12	19:58:12	19:58:14	19:58:14		00:00:00		00:00:00	00:00:51	00:00:00	00:00:00	00:00:01	00:00:55
1	19:58:14	19:58:14	19:58:15	19:58:15	19:58:15	19:58:15	19:58:16	19:58:16	19:58:34	19:58:34	19:58:34	19:58:34	19:58:35	19:58:35	19:58:37	19:58:37		00:00:00	00:00:00	00:00:00	00:00:17	00:00:00	00:00:01	00:00:01	00:00:22
2	19:58:37	19:58:37	19:58:38	19:58:38	19:58:39	19:58:39	19:58:40	19:58:40	19:58:57	19:58:57	19:58:57	19:58:57	19:58:58	19:58:58	19:59:00	19:59:00		00:00:00	00:00:00	00:00:01	00:00:16	00:00:00	00:00:00	00:00:02	00:00:23
3	19:59:00	19:59:00	19:59:01	19:59:01	19:59:01	19:59:01	19:59:02	19:59:02	19:59:23	19:59:23	19:59:23	19:59:23	19:59:23	19:59:23	19:59:25	19:59:25		00:00:00	00:00:00	00:00:00	00:00:20	00:00:00	00:00:00	00:00:01	00:00:24
4	19:59:25	19:59:25	19:59:26	19:59:26	19:59:27	19:59:27	19:59:27	19:59:27	19:59:45	19:59:45	19:59:45	19:59:45	19:59:45	19:59:45	19:59:47	19:59:47		00:00:00	00:00:01	00:00:00	00:00:17	00:00:00	00:00:00	00:00:01	00:00:21
5	19:59:47	19:59:47	19:59:47	19:59:47	19:59:48	19:59:48	19:59:48	19:59:48	20:00:08	20:00:08	20:00:08	20:00:08	20:00:09	20:00:09	20:00:10	20:00:10		00:00:00	00:00:00	00:00:00	00:00:19	00:00:00	00:00:00	00:00:01	00:00:23
6	20:00:10	20:00:10	20:00:11	20:00:11	20:00:11	20:00:11	20:00:12	20:00:12	20:00:30	20:00:30	20:00:30	20:00:30	20:00:31	20:00:31	20:00:32	20:00:32		00:00:00	00:00:00	00:00:00	00:00:17	00:00:00	00:00:01	00:00:01	00:00:21
7	20:00:32	20:00:32	20:00:33	20:00:33	20:00:34	20:00:34	20:00:34	20:00:34	20:00:54	20:00:54	20:00:54	20:00:54	20:00:54	20:00:54	20:00:56	20:00:56		00:00:00	00:00:00	00:00:00	00:00:19	00:00:00	00:00:00	00:00:01	00:00:23
8	20:00:56	20:00:56	20:00:56	20:00:56	20:00:57	20:00:57	20:00:58	20:00:58	20:01:16	20:01:16	20:01:16	20:01:16	20:01:17	20:01:17	20:01:18	20:01:18		00:00:00	00:00:00	00:00:01	00:00:17	00:00:00	00:00:00	00:00:01	00:00:22
9	20:01:19	20:01:19	20:01:19	20:01:19	20:01:20	20:01:20	20:01:20	20:01:20	20:02:07	20:02:07	20:02:07	20:02:07	20:02:08	20:02:08	20:02:09	20:02:09		00:00:00	00:00:00	00:00:00	00:00:46	00:00:00	00:00:00	00:00:01	00:00:50
