ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	127.33622848342456	127.33622848342456	127.33622848342456	127.33622848342456
1	128.8473449872464	128.55880471040743	128.7085666951363	128.85832867986596
2	129.92252255641674	129.3682373227239	129.6634966984957	129.95302765167622
3	130.7213460280614	129.90155238696474	130.355900454163	130.79431456108517
4	131.23802527802485	130.19184830621552	130.8002276279759	131.37995913440236
5	131.62589899976166	130.35702988053558	131.12671835759696	131.8529962918624
6	131.90389378652756	130.41981505790935	131.35847393234727	132.23798715004557
7	132.0411091860352	130.42625611283827	131.46003535369627	132.4111823977397
8	132.08024796006669	130.40662384999976	131.48614342225048	132.45499344571755
9	132.07667797094706	130.35210074360307	131.48315017625922	132.47125116110442
