Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	21:36:20	21:36:20	21:36:21			21:36:21	21:36:22	21:36:22	21:37:16	21:37:16	21:37:16	21:37:16	21:37:17	21:37:17	21:37:19	21:37:19		00:00:00		00:00:00	00:00:53	00:00:00	00:00:00	00:00:02	00:00:58
1	21:37:20	21:37:20	21:37:20	21:37:20	21:37:21	21:37:21	21:37:22	21:37:22	21:37:41	21:37:41	21:37:41	21:37:41	21:37:42	21:37:42	21:37:45	21:37:45		00:00:00	00:00:00	00:00:00	00:00:19	00:00:00	00:00:01	00:00:02	00:00:24
2	21:37:45	21:37:45	21:37:45	21:37:45	21:37:47	21:37:47	21:37:48	21:37:48	21:38:07	21:38:07	21:38:07	21:38:07	21:38:08	21:38:08	21:38:09	21:38:09		00:00:00	00:00:02	00:00:00	00:00:19	00:00:00	00:00:00	00:00:01	00:00:24
3	21:38:10	21:38:10	21:38:10	21:38:10	21:38:11	21:38:11	21:38:12	21:38:12	21:38:32	21:38:32	21:38:32	21:38:32	21:38:33	21:38:33	21:38:35	21:38:35		00:00:00	00:00:00	00:00:00	00:00:20	00:00:00	00:00:00	00:00:01	00:00:25
4	21:38:35	21:38:35	21:38:36	21:38:36	21:38:37	21:38:37	21:38:37	21:38:37	21:38:54	21:38:54	21:38:54	21:38:54	21:38:55	21:38:55	21:38:56	21:38:56		00:00:00	00:00:00	00:00:00	00:00:16	00:00:00	00:00:01	00:00:01	00:00:21
5	21:38:57	21:38:57	21:38:57	21:38:57	21:38:58	21:38:58	21:38:58	21:38:58	21:39:20	21:39:20	21:39:20	21:39:20	21:39:21	21:39:21	21:39:23	21:39:23		00:00:00	00:00:00	00:00:00	00:00:21	00:00:00	00:00:00	00:00:01	00:00:26
6	21:39:23	21:39:23	21:39:24	21:39:24	21:39:25	21:39:25	21:39:25	21:39:25	21:39:43	21:39:43	21:39:43	21:39:43	21:39:43	21:39:43	21:39:45	21:39:45		00:00:00	00:00:00	00:00:00	00:00:17	00:00:00	00:00:00	00:00:01	00:00:21
7	21:39:45	21:39:45	21:39:45	21:39:45	21:39:46	21:39:46	21:39:47	21:39:47	21:40:07	21:40:07	21:40:07	21:40:07	21:40:08	21:40:08	21:40:09	21:40:09		00:00:00	00:00:00	00:00:00	00:00:20	00:00:00	00:00:00	00:00:01	00:00:23
8	21:40:09	21:40:09	21:40:10	21:40:10	21:40:10	21:40:10	21:40:11	21:40:11	21:40:28	21:40:28	21:40:28	21:40:28	21:40:29	21:40:29	21:40:30	21:40:30		00:00:00	00:00:00	00:00:00	00:00:17	00:00:00	00:00:00	00:00:01	00:00:21
9	21:40:31	21:40:31	21:40:31	21:40:31	21:40:32	21:40:32	21:40:33	21:40:33	21:41:16	21:41:16	21:41:16	21:41:16	21:41:17	21:41:17	21:41:18	21:41:18		00:00:00	00:00:00	00:00:00	00:00:43	00:00:00	00:00:00	00:00:01	00:00:47
