ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	127.33557664284201	127.33557664284201	127.33557664284201	127.33557664284201
1	128.86744756429366	128.57506533786133	128.7262587032773	128.87745206869297
2	129.9959815118841	129.43264696577225	129.7338997135843	130.02906215276545
3	130.7746188624876	129.94782109994705	130.41211839629867	130.8593714097307
4	131.29342011358287	130.24118007587822	130.85396282331592	131.4372337849769
5	131.5891044579162	130.33675697315465	131.10546015465093	131.82735004693401
6	131.82341461978385	130.37644531807646	131.30029992099375	132.1597625625853
7	131.93883933223873	130.38943561924094	131.38713389981416	132.29700296461064
8	131.9604090651666	130.3526469292898	131.40753425247277	132.35009883070433
9	132.01404680059366	130.35148999479784	131.44236018864365	132.39694650468317
