Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	20:06:35	20:06:35	20:06:36			20:06:36	20:06:36	20:06:36	20:07:30	20:07:30	20:07:30	20:07:30	20:07:31	20:07:31	20:07:33	20:07:33		00:00:00		00:00:00	00:00:53	00:00:00	00:00:00	00:00:02	00:00:57
1	20:07:34	20:07:34	20:07:35	20:07:35	20:07:36	20:07:36	20:07:37	20:07:37	20:07:57	20:07:57	20:07:57	20:07:57	20:07:59	20:07:59	20:08:01	20:08:01		00:00:00	00:00:01	00:00:00	00:00:20	00:00:00	00:00:01	00:00:02	00:00:27
2	20:08:02	20:08:02	20:08:03	20:08:03	20:08:04	20:08:04	20:08:05	20:08:05	20:08:23	20:08:23	20:08:23	20:08:23	20:08:23	20:08:23	20:08:26	20:08:26		00:00:00	00:00:01	00:00:00	00:00:18	00:00:00	00:00:00	00:00:02	00:00:24
3	20:08:26	20:08:26	20:08:27	20:08:27	20:08:28	20:08:28	20:08:29	20:08:29	20:08:48	20:08:48	20:08:48	20:08:48	20:08:49	20:08:49	20:08:51	20:08:51		00:00:00	00:00:00	00:00:01	00:00:19	00:00:00	00:00:00	00:00:01	00:00:24
4	20:08:51	20:08:51	20:08:51	20:08:51	20:08:52	20:08:52	20:08:53	20:08:53	20:09:10	20:09:10	20:09:10	20:09:10	20:09:10	20:09:10	20:09:12	20:09:12		00:00:00	00:00:00	00:00:00	00:00:16	00:00:00	00:00:00	00:00:01	00:00:21
5	20:09:12	20:09:12	20:09:13	20:09:13	20:09:13	20:09:13	20:09:14	20:09:14	20:09:34	20:09:34	20:09:34	20:09:34	20:09:35	20:09:35	20:09:36	20:09:36		00:00:00	00:00:00	00:00:00	00:00:20	00:00:00	00:00:00	00:00:01	00:00:23
6	20:09:36	20:09:36	20:09:37	20:09:37	20:09:37	20:09:37	20:09:38	20:09:38	20:09:55	20:09:55	20:09:55	20:09:55	20:09:56	20:09:56	20:09:58	20:09:58		00:00:00	00:00:00	00:00:00	00:00:17	00:00:00	00:00:00	00:00:02	00:00:21
7	20:09:58	20:09:58	20:09:58	20:09:58	20:09:59	20:09:59	20:10:00	20:10:00	20:10:19	20:10:19	20:10:19	20:10:19	20:10:20	20:10:20	20:10:22	20:10:22		00:00:00	00:00:00	00:00:00	00:00:19	00:00:00	00:00:00	00:00:01	00:00:23
8	20:10:22	20:10:22	20:10:22	20:10:22	20:10:23	20:10:23	20:10:24	20:10:24	20:10:44	20:10:44	20:10:44	20:10:44	20:10:44	20:10:44	20:10:46	20:10:46		00:00:00	00:00:00	00:00:00	00:00:19	00:00:00	00:00:00	00:00:01	00:00:23
9	20:10:46	20:10:46	20:10:47	20:10:47	20:10:47	20:10:47	20:10:48	20:10:48	20:11:32	20:11:32	20:11:32	20:11:32	20:11:33	20:11:33	20:11:34	20:11:34		00:00:00	00:00:00	00:00:00	00:00:44	00:00:00	00:00:00	00:00:01	00:00:47
