Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	23:50:05	23:50:05	23:50:06			23:50:06	23:50:06	23:50:06	23:50:59	23:50:59	23:50:59	23:50:59	23:51:00	23:51:00	23:51:02	23:51:02		00:00:00		00:00:00	00:00:52	00:00:00	00:00:00	00:00:02	00:00:56
1	23:51:03	23:51:03	23:51:03	23:51:03	23:51:04	23:51:04	23:51:04	23:51:04	23:51:22	23:51:22	23:51:22	23:51:22	23:51:23	23:51:23	23:51:26	23:51:26		00:00:00	00:00:00	00:00:00	00:00:17	00:00:00	00:00:00	00:00:03	00:00:23
2	23:51:27	23:51:27	23:51:27	23:51:27	23:51:28	23:51:28	23:51:30	23:51:30	23:51:49	23:51:49	23:51:49	23:51:49	23:51:49	23:51:49	23:51:52	23:51:52		00:00:00	00:00:00	00:00:02	00:00:18	00:00:00	00:00:00	00:00:02	00:00:25
3	23:51:52	23:51:52	23:51:53	23:51:53	23:51:53	23:51:53	23:51:54	23:51:54	23:52:15	23:52:15	23:52:15	23:52:15	23:52:16	23:52:16	23:52:17	23:52:17		00:00:00	00:00:00	00:00:00	00:00:20	00:00:00	00:00:00	00:00:01	00:00:25
4	23:52:18	23:52:18	23:52:18	23:52:18	23:52:19	23:52:19	23:52:20	23:52:20	23:52:39	23:52:39	23:52:39	23:52:39	23:52:40	23:52:40	23:52:41	23:52:41		00:00:00	00:00:01	00:00:00	00:00:19	00:00:00	00:00:00	00:00:01	00:00:23
5	23:52:42	23:52:42	23:52:42	23:52:42	23:52:43	23:52:43	23:52:43	23:52:43	23:53:04	23:53:04	23:53:04	23:53:04	23:53:04	23:53:04	23:53:06	23:53:06		00:00:00	00:00:00	00:00:00	00:00:20	00:00:00	00:00:00	00:00:01	00:00:24
6	23:53:06	23:53:06	23:53:06	23:53:06	23:53:07	23:53:07	23:53:07	23:53:07	23:53:24	23:53:24	23:53:24	23:53:24	23:53:25	23:53:25	23:53:26	23:53:26		00:00:00	00:00:00	00:00:00	00:00:16	00:00:00	00:00:00	00:00:01	00:00:20
7	23:53:26	23:53:26	23:53:27	23:53:27	23:53:28	23:53:28	23:53:28	23:53:28	23:53:45	23:53:45	23:53:45	23:53:45	23:53:46	23:53:46	23:53:48	23:53:48		00:00:00	00:00:00	00:00:00	00:00:17	00:00:00	00:00:00	00:00:02	00:00:21
8	23:53:48	23:53:48	23:53:48	23:53:48	23:53:50	23:53:50	23:53:50	23:53:50	23:54:09	23:54:09	23:54:09	23:54:09	23:54:10	23:54:10	23:54:11	23:54:11		00:00:00	00:00:01	00:00:00	00:00:18	00:00:00	00:00:00	00:00:01	00:00:23
9	23:54:11	23:54:11	23:54:12	23:54:12	23:54:12	23:54:12	23:54:13	23:54:13	23:54:58	23:54:58	23:54:58	23:54:58	23:54:59	23:54:59	23:55:02	23:55:02		00:00:00	00:00:00	00:00:00	00:00:45	00:00:00	00:00:00	00:00:03	00:00:50
