ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	127.33122811406716	127.33122811406716	127.33122811406716	127.33122811406716
1	128.88851318285433	128.5911528455916	128.74488488936035	128.8986169331294
2	130.02248163693284	129.44733849124012	129.75506166659105	130.05667088750644
3	130.85451763936803	130.0036619318708	130.4794063731146	130.9385501586321
4	131.36036446078836	130.28073135317015	130.9113660552552	131.51195030982825
5	131.75651597686843	130.44896321040645	131.2439193949587	131.9930902497611
6	132.01062821555234	130.51505440216627	131.45727102041906	132.33601321049434
7	132.11695023364666	130.4914904322853	131.54187122389706	132.50565693673337
8	132.15109917285005	130.47675494284093	131.5614801184007	132.53535829853374
9	132.18243438998473	130.45784609897873	131.58040530628276	132.56572998014514
