Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	23:36:07	23:36:07	23:36:08			23:36:08	23:36:09	23:36:09	23:37:00	23:37:00	23:37:00	23:37:00	23:37:01	23:37:01	23:37:03	23:37:03		00:00:00		00:00:00	00:00:51	00:00:00	00:00:00	00:00:02	00:00:55
1	23:37:03	23:37:03	23:37:04	23:37:04	23:37:05	23:37:05	23:37:06	23:37:06	23:37:25	23:37:25	23:37:25	23:37:25	23:37:26	23:37:26	23:37:28	23:37:28		00:00:00	00:00:01	00:00:00	00:00:19	00:00:00	00:00:01	00:00:01	00:00:24
2	23:37:28	23:37:28	23:37:29	23:37:29	23:37:29	23:37:29	23:37:31	23:37:31	23:37:50	23:37:50	23:37:50	23:37:50	23:37:51	23:37:51	23:37:53	23:37:53		00:00:00	00:00:00	00:00:01	00:00:19	00:00:00	00:00:00	00:00:02	00:00:24
3	23:37:53	23:37:53	23:37:54	23:37:54	23:37:55	23:37:55	23:37:56	23:37:56	23:38:17	23:38:17	23:38:17	23:38:17	23:38:17	23:38:17	23:38:19	23:38:19		00:00:00	00:00:01	00:00:00	00:00:20	00:00:00	00:00:00	00:00:01	00:00:25
4	23:38:19	23:38:19	23:38:19	23:38:19	23:38:20	23:38:20	23:38:21	23:38:21	23:38:38	23:38:38	23:38:38	23:38:38	23:38:39	23:38:39	23:38:40	23:38:40		00:00:00	00:00:00	00:00:00	00:00:17	00:00:00	00:00:00	00:00:01	00:00:21
5	23:38:40	23:38:40	23:38:41	23:38:41	23:38:42	23:38:42	23:38:42	23:38:42	23:39:03	23:39:03	23:39:03	23:39:03	23:39:04	23:39:04	23:39:05	23:39:05		00:00:00	00:00:00	00:00:00	00:00:20	00:00:00	00:00:00	00:00:01	00:00:24
6	23:39:06	23:39:06	23:39:06	23:39:06	23:39:07	23:39:07	23:39:07	23:39:07	23:39:24	23:39:24	23:39:24	23:39:24	23:39:24	23:39:24	23:39:26	23:39:26		00:00:00	00:00:00	00:00:00	00:00:16	00:00:00	00:00:00	00:00:01	00:00:20
7	23:39:26	23:39:26	23:39:27	23:39:27	23:39:27	23:39:27	23:39:27	23:39:27	23:39:46	23:39:46	23:39:46	23:39:46	23:39:47	23:39:47	23:39:48	23:39:48		00:00:00	00:00:00	00:00:00	00:00:18	00:00:00	00:00:00	00:00:01	00:00:22
8	23:39:49	23:39:49	23:39:49	23:39:49	23:39:51	23:39:51	23:39:51	23:39:51	23:40:10	23:40:10	23:40:10	23:40:10	23:40:10	23:40:10	23:40:12	23:40:12		00:00:00	00:00:02	00:00:00	00:00:18	00:00:00	00:00:00	00:00:01	00:00:23
9	23:40:12	23:40:12	23:40:13	23:40:13	23:40:13	23:40:13	23:40:14	23:40:14	23:40:58	23:40:58	23:40:58	23:40:58	23:40:59	23:40:59	23:41:00	23:41:00		00:00:00	00:00:00	00:00:00	00:00:44	00:00:00	00:00:00	00:00:01	00:00:48
