Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	19:57:19	19:57:19	19:57:20			19:57:20	19:57:21	19:57:21	19:58:13	19:58:13	19:58:13	19:58:13	19:58:14	19:58:14	19:58:17	19:58:17		00:00:00		00:00:00	00:00:52	00:00:00	00:00:00	00:00:02	00:00:57
1	19:58:17	19:58:17	19:58:18	19:58:18	19:58:19	19:58:19	19:58:20	19:58:20	19:58:37	19:58:37	19:58:37	19:58:37	19:58:38	19:58:38	19:58:41	19:58:41		00:00:00	00:00:01	00:00:00	00:00:17	00:00:00	00:00:01	00:00:02	00:00:23
2	19:58:41	19:58:41	19:58:41	19:58:41	19:58:42	19:58:42	19:58:44	19:58:44	19:59:00	19:59:00	19:59:00	19:59:00	19:59:01	19:59:01	19:59:03	19:59:03		00:00:00	00:00:00	00:00:01	00:00:16	00:00:00	00:00:00	00:00:01	00:00:21
3	19:59:03	19:59:03	19:59:03	19:59:03	19:59:04	19:59:04	19:59:05	19:59:05	19:59:25	19:59:25	19:59:25	19:59:25	19:59:25	19:59:25	19:59:28	19:59:28		00:00:00	00:00:00	00:00:00	00:00:19	00:00:00	00:00:00	00:00:02	00:00:24
4	19:59:28	19:59:28	19:59:28	19:59:28	19:59:29	19:59:29	19:59:30	19:59:30	19:59:47	19:59:47	19:59:47	19:59:47	19:59:48	19:59:48	19:59:49	19:59:49		00:00:00	00:00:00	00:00:01	00:00:16	00:00:00	00:00:00	00:00:01	00:00:21
5	19:59:49	19:59:49	19:59:50	19:59:50	19:59:50	19:59:50	19:59:51	19:59:51	20:00:11	20:00:11	20:00:11	20:00:11	20:00:11	20:00:11	20:00:13	20:00:13		00:00:00	00:00:00	00:00:00	00:00:19	00:00:00	00:00:00	00:00:01	00:00:23
6	20:00:13	20:00:13	20:00:14	20:00:14	20:00:15	20:00:15	20:00:15	20:00:15	20:00:32	20:00:32	20:00:32	20:00:32	20:00:33	20:00:33	20:00:34	20:00:34		00:00:00	00:00:00	00:00:00	00:00:16	00:00:00	00:00:00	00:00:01	00:00:21
7	20:00:35	20:00:35	20:00:35	20:00:35	20:00:36	20:00:36	20:00:36	20:00:36	20:00:55	20:00:55	20:00:55	20:00:55	20:00:55	20:00:55	20:00:57	20:00:57		00:00:00	00:00:00	00:00:00	00:00:18	00:00:00	00:00:00	00:00:01	00:00:22
8	20:00:58	20:00:58	20:00:58	20:00:58	20:00:59	20:00:59	20:00:59	20:00:59	20:01:18	20:01:18	20:01:18	20:01:18	20:01:19	20:01:19	20:01:21	20:01:21		00:00:00	00:00:00	00:00:00	00:00:18	00:00:00	00:00:00	00:00:01	00:00:22
9	20:01:21	20:01:21	20:01:21	20:01:21	20:01:22	20:01:22	20:01:23	20:01:23	20:02:09	20:02:09	20:02:09	20:02:09	20:02:10	20:02:10	20:02:11	20:02:11		00:00:00	00:00:00	00:00:00	00:00:46	00:00:00	00:00:00	00:00:01	00:00:49
