ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	127.30139205559371	127.30139205559371	127.30139205559371	127.30139205559371
1	128.87192832960216	128.57433771318475	128.7277241206633	128.8811105281412
2	130.0159466277139	129.4380498820433	129.74731534704085	130.05048577687106
3	130.84287102574424	129.98743559846835	130.46576456350968	130.92704997733742
4	131.35583658632228	130.27961822577376	130.90480711002087	131.49921841700572
5	131.71483314659582	130.41115418558488	131.2066786485982	131.9550548589909
6	131.98375582196462	130.4782347539141	131.43182031539266	132.32066600915908
7	132.09286169610547	130.46057085300413	131.51451699701707	132.48316643522656
8	132.14244848079824	130.4449842762606	131.54766481337597	132.5380262934617
9	132.1685376028771	130.42479077820988	131.5619760925118	132.56087997824
