ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	127.28594571655283	127.28594571655283	127.28594571655283	127.28594571655283
1	128.94397850383388	128.6392926858747	128.79694886549802	128.95460504512153
2	130.16384280197306	129.56718583657596	129.88494957369866	130.19663400924458
3	130.9730827173204	130.0955634215345	130.58882913624478	131.06440724649445
4	131.4359802898596	130.34469654675365	130.993937109251	131.61067148134856
5	131.79473915851918	130.495980826824	131.29197452304012	132.04053055936828
6	132.00338667156225	130.50764810860971	131.46238512419592	132.3538964574018
7	132.0667198597729	130.45396132581126	131.50634751147456	132.47025124582672
8	132.05642593045891	130.41238890486844	131.48801240677332	132.44989274209033
9	132.08072946395083	130.40442083830828	131.50084794573735	132.45636764510868
