Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	23:36:10	23:36:10	23:36:11			23:36:11	23:36:12	23:36:12	23:37:06	23:37:06	23:37:06	23:37:06	23:37:06	23:37:06	23:37:09	23:37:09		00:00:00		00:00:00	00:00:54	00:00:00	00:00:00	00:00:02	00:00:59
1	23:37:10	23:37:10	23:37:11	23:37:11	23:37:12	23:37:12	23:37:12	23:37:12	23:37:32	23:37:32	23:37:32	23:37:32	23:37:32	23:37:32	23:37:35	23:37:35		00:00:00	00:00:00	00:00:00	00:00:19	00:00:00	00:00:00	00:00:02	00:00:24
2	23:37:36	23:37:36	23:37:36	23:37:36	23:37:37	23:37:37	23:37:39	23:37:39	23:37:56	23:37:56	23:37:56	23:37:56	23:37:56	23:37:56	23:37:59	23:37:59		00:00:00	00:00:00	00:00:01	00:00:17	00:00:00	00:00:00	00:00:02	00:00:23
3	23:37:59	23:37:59	23:37:59	23:37:59	23:38:00	23:38:00	23:38:01	23:38:01	23:38:23	23:38:23	23:38:23	23:38:23	23:38:24	23:38:24	23:38:25	23:38:25		00:00:00	00:00:00	00:00:00	00:00:22	00:00:00	00:00:00	00:00:01	00:00:25
4	23:38:25	23:38:25	23:38:26	23:38:26	23:38:27	23:38:27	23:38:27	23:38:27	23:38:44	23:38:44	23:38:44	23:38:44	23:38:45	23:38:45	23:38:47	23:38:47		00:00:00	00:00:00	00:00:00	00:00:17	00:00:00	00:00:00	00:00:01	00:00:21
5	23:38:47	23:38:47	23:38:47	23:38:47	23:38:48	23:38:48	23:38:49	23:38:49	23:39:09	23:39:09	23:39:09	23:39:09	23:39:09	23:39:09	23:39:11	23:39:11		00:00:00	00:00:00	00:00:00	00:00:19	00:00:00	00:00:00	00:00:01	00:00:24
6	23:39:11	23:39:11	23:39:12	23:39:12	23:39:13	23:39:13	23:39:13	23:39:13	23:39:30	23:39:30	23:39:30	23:39:30	23:39:31	23:39:31	23:39:32	23:39:32		00:00:00	00:00:00	00:00:00	00:00:16	00:00:00	00:00:00	00:00:01	00:00:20
7	23:39:32	23:39:32	23:39:33	23:39:33	23:39:34	23:39:34	23:39:34	23:39:34	23:39:54	23:39:54	23:39:54	23:39:54	23:39:55	23:39:55	23:39:57	23:39:57		00:00:00	00:00:00	00:00:00	00:00:19	00:00:00	00:00:00	00:00:01	00:00:24
8	23:39:57	23:39:57	23:39:58	23:39:58	23:39:58	23:39:58	23:39:59	23:39:59	23:40:15	23:40:15	23:40:15	23:40:15	23:40:16	23:40:16	23:40:17	23:40:17		00:00:00	00:00:00	00:00:00	00:00:15	00:00:00	00:00:00	00:00:01	00:00:19
9	23:40:17	23:40:17	23:40:17	23:40:17	23:40:18	23:40:18	23:40:18	23:40:18	23:41:02	23:41:02	23:41:02	23:41:02	23:41:03	23:41:03	23:41:04	23:41:04		00:00:00	00:00:00	00:00:00	00:00:43	00:00:00	00:00:00	00:00:01	00:00:47
